crop,season,n_required,p_required,k_required
rice,monsoon,120,60,60
maize,summer,100,50,40
wheat,winter,90,40,40
barley,winter,80,35,35
millet,monsoon,70,30,30
potato,winter,120,60,100
tomato,summer,100,50,60
cabbage,winter,90,45,60
soybean,monsoon,60,30,40
lentil,winter,50,25,25
mustard,winter,70,30,30
banana,annual,200,60,200
tea,annual,150,60,120
coffee,annual,120,60,120
ginger,monsoon,120,60,120
turmeric,monsoon,100,50,100
onion,winter,90,40,50
garlic,winter,90,40,50
peas,winter,60,30,30
beans,summer,70,35,35